🐶湖北移动,#genre#
CCTV1,http://111.48.34.138/000000001000PLTV/88888888/224/3221229665/1.m3u8#http://111.48.34.138/000000001000PLTV/88888888/224/3221229968/1.m3u8#http://111.48.34.138/000000001000PLTV/88888888/224/3221230440/1.m3u8#http://111.48.34.138/000000001000PLTV/88888888/224/3221230563/1.m3u8
CCTV2,http://111.48.34.138/000000001000PLTV/88888888/224/3221229893/1.m3u8#http://111.48.34.138/000000001000PLTV/88888888/224/3221230359/1.m3u8
CCTV3,http://111.48.34.138/000000001000PLTV/88888888/224/3221230150/1.m3u8#http://111.48.34.138/000000001000PLTV/88888888/224/3221230394/1.m3u8
CCTV4,http://111.48.34.138/000000001000PLTV/88888888/224/3221229862/1.m3u8#http://111.48.34.138/000000001000PLTV/88888888/224/3221230489/1.m3u8
CCTV5,http://111.48.34.138/000000001000PLTV/88888888/224/3221230165/1.m3u8#http://111.48.34.138/000000001000PLTV/88888888/224/3221230400/1.m3u8
CCTV5+,http://111.48.34.138/000000001000PLTV/88888888/224/3221230455/1.m3u8
CCTV6,http://111.48.34.138/000000001000PLTV/88888888/224/3221230154/1.m3u8#http://111.48.34.138/000000001000PLTV/88888888/224/3221230451/1.m3u8
CCTV7,http://111.48.34.138/000000001000PLTV/88888888/224/3221229895/1.m3u8#http://111.48.34.138/000000001000PLTV/88888888/224/3221230442/1.m3u8
CCTV8,http://111.48.34.138/000000001000PLTV/88888888/224/3221230169/1.m3u8#http://111.48.34.138/000000001000PLTV/88888888/224/3221230445/1.m3u8
CCTV9,http://111.48.34.138/000000001000PLTV/88888888/224/3221229864/1.m3u8#http://111.48.34.138/000000001000PLTV/88888888/224/3221230330/1.m3u8
CCTV10,http://111.48.34.138/000000001000PLTV/88888888/224/3221229874/1.m3u8#http://111.48.34.138/000000001000PLTV/88888888/224/3221230491/1.m3u8
CCTV11,http://111.48.34.138/000000001000PLTV/88888888/224/3221229869/1.m3u8#http://111.48.34.138/000000001000PLTV/88888888/224/3221230444/1.m3u8
CCTV12,http://111.48.34.138/000000001000PLTV/88888888/224/3221229897/1.m3u8#http://111.48.34.138/000000001000PLTV/88888888/224/3221230363/1.m3u8
CCTV13,http://111.48.34.138/000000001000PLTV/88888888/224/3221230493/1.m3u8
CCTV14,http://111.48.34.138/000000001000PLTV/88888888/224/3221229868/1.m3u8#http://111.48.34.138/000000001000PLTV/88888888/224/3221230446/1.m3u8#http://111.48.34.138/000000001000PLTV/88888888/224/3221230447/1.m3u8
CCTV15,http://111.48.34.138/000000001000PLTV/88888888/224/3221229861/1.m3u8#http://111.48.34.138/000000001000PLTV/88888888/224/3221230495/1.m3u8
CCTV17,http://111.48.34.138/000000001000PLTV/88888888/224/3221229831/1.m3u8
CCTV4K,http://111.48.34.138/000000001000PLTV/88888888/224/3221230518/1.m3u8#http://111.48.34.138/000000001000PLTV/88888888/224/3221230571/1.m3u8#http://111.48.34.138/000000001000PLTV/88888888/224/3221230577/1.m3u8
CCTV4美洲,http://111.48.34.138/000000001000PLTV/88888888/224/3221230585/1.m3u8
